time,ids,ids_mode,satellite_id,source_ip,target_ip,target_port,ground_truth,detected,action,score,detail
197.60000000001068,S-IDS,signature,264,181.169.127.91,87.53.166.221,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
197.60000000001068,S-IDS,signature,164,129.74.69.48,24.41.0.220,22,malicious,0,malicious_executed,,None
197.60000000001068,S-IDS,signature,35,208.0.168.9,24.20.208.96,22,malicious,0,malicious_executed,,None
202.65000000001183,S-IDS,signature,1232,71.62.87.218,165.253.33.136,22,benign,0,benign_allowed,,None
202.65000000001183,S-IDS,signature,35,208.0.168.9,24.20.208.96,22,malicious,0,malicious_executed,,None
202.70000000001184,S-IDS,signature,762,136.180.59.60,182.214.226.210,22,malicious,0,malicious_executed,,None
202.70000000001184,S-IDS,signature,829,244.37.107.127,55.49.50.17,22,malicious,0,malicious_executed,,None
202.75000000001185,S-IDS,signature,1167,250.19.107.214,152.210.52.91,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.75000000001185,S-IDS,signature,1167,128.153.105.180,152.210.52.91,22,benign,0,benign_allowed,,None
202.75000000001185,S-IDS,signature,1134,6.66.230.147,84.6.106.142,22,benign,0,benign_allowed,,None
202.75000000001185,S-IDS,signature,1166,162.183.33.123,212.211.120.119,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
202.75000000001185,S-IDS,signature,1166,126.80.68.31,212.211.120.119,22,benign,0,benign_allowed,,None
202.75000000001185,S-IDS,signature,1068,18.84.239.174,81.204.169.167,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.75000000001185,S-IDS,signature,1094,42.27.115.196,201.150.117.237,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.75000000001185,S-IDS,signature,902,58.33.232.122,237.102.40.153,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.80000000001186,S-IDS,signature,200,14.143.216.224,57.203.40.201,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
202.80000000001186,S-IDS,signature,264,181.169.127.91,87.53.166.221,22,malicious,0,malicious_executed,,None
202.85000000001187,S-IDS,signature,860,240.247.193.97,85.225.21.164,22,malicious,0,malicious_executed,,None
202.85000000001187,S-IDS,signature,1062,216.209.155.112,240.18.18.221,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.85000000001187,S-IDS,signature,1133,15.31.179.134,129.229.82.204,22,benign,0,benign_allowed,,None
202.85000000001187,S-IDS,signature,1133,133.235.221.20,129.229.82.204,22,benign,0,benign_allowed,,None
202.85000000001187,S-IDS,signature,268,157.91.128.219,237.27.177.42,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
202.85000000001187,S-IDS,signature,333,195.61.47.221,99.95.207.180,22,malicious,1,malicious_blocked,,'1\xc0Ph//sh'
202.9000000000119,S-IDS,signature,164,129.74.69.48,24.41.0.220,22,malicious,1,malicious_blocked,,'1\xdb\xf7\xe3\xb0f'
202.9000000000119,S-IDS,signature,236,144.166.251.154,208.205.32.219,22,benign,0,benign_allowed,,None
202.9000000000119,S-IDS,signature,168,122.8.219.176,18.176.255.250,22,benign,0,benign_allowed,,None
202.9000000000119,S-IDS,signature,199,121.15.154.73,164.26.49.75,22,benign,0,benign_allowed,,None
203.0000000000119,S-IDS,signature,233,129.62.123.244,168.80.132.80,22,benign,0,benign_allowed,,None
203.0000000000119,S-IDS,signature,3,24.77.56.97,108.230.100.33,22,benign,0,benign_allowed,,None
203.10000000001193,S-IDS,signature,1068,123.131.150.129,81.204.169.167,22,benign,0,benign_allowed,,None
203.10000000001193,S-IDS,signature,1036,150.136.1.115,75.241.112.22,22,benign,0,benign_allowed,,None
203.10000000001193,S-IDS,signature,264,182.79.78.134,87.53.166.221,22,benign,0,benign_allowed,,None
203.10000000001193,S-IDS,signature,806,109.248.78.112,82.70.168.39,22,benign,0,benign_allowed,,None
205.1000000000124,S-IDS,signature,1029,160.87.118.58,134.85.4.127,22,benign,0,benign_allowed,,None
205.1000000000124,S-IDS,signature,1029,108.151.190.40,134.85.4.127,22,benign,0,benign_allowed,,None
