event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
arrival,5.850,case3-19-119-0,19,A_to_B,19,119,,103,104.478,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.850,case3-67-167-0,67,A_to_B,67,167,,103,104.302,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
arrival,5.850,case3-115-15-0,15,B_to_A,115,15,,234,104.156,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.850,case3-119-19-0,19,B_to_A,119,19,,234,104.477,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
arrival,5.850,case3-167-67-0,67,B_to_A,167,67,,234,104.298,12,14,103 104 129 130 155 156 181 182 207 208 233 234,
generate,6.000,case3-20-120-0,20,A_to_B,20,120,234,359,,,,,
generate,6.000,case3-21-121-0,21,A_to_B,21,121,234,383,,,,,
generate,6.000,case3-22-122-0,22,A_to_B,22,122,353,383,,,,,
generate,6.000,case3-23-123-0,23,A_to_B,23,123,234,103,,,,,
generate,6.000,case3-24-124-0,24,A_to_B,24,124,234,359,,,,,
generate,6.000,case3-70-170-0,70,A_to_B,70,170,353,383,,,,,
generate,6.000,case3-71-171-0,71,A_to_B,71,171,234,103,,,,,
generate,6.000,case3-72-172-0,72,A_to_B,72,172,234,359,,,,,
generate,6.000,case3-73-173-0,73,A_to_B,73,173,234,383,,,,,
generate,6.000,case3-74-174-0,74,A_to_B,74,174,353,383,,,,,
generate,6.000,case3-120-20-0,20,B_to_A,120,20,359,234,,,,,
generate,6.000,case3-121-21-0,21,B_to_A,121,21,383,234,,,,,
generate,6.000,case3-122-22-0,22,B_to_A,122,22,383,353,,,,,
generate,6.000,case3-123-23-0,23,B_to_A,123,23,103,234,,,,,
generate,6.000,case3-124-24-0,24,B_to_A,124,24,359,234,,,,,
generate,6.050,case3-170-70-0,70,B_to_A,170,70,383,353,,,,,
generate,6.050,case3-171-71-0,71,B_to_A,171,71,103,234,,,,,
generate,6.050,case3-172-72-0,72,B_to_A,172,72,359,234,,,,,
generate,6.050,case3-173-73-0,73,B_to_A,173,73,383,234,,,,,
generate,6.050,case3-174-74-0,74,B_to_A,174,74,383,353,,,,,
generate,6.050,case3-175-75-0,75,B_to_A,175,75,103,234,,,,,
